Node	In	Out	Rank_1	Rank_2	Rank_3
420	1	1	0.000048	0.249673	0.150018	0.000029
421	2	2	0.000081	0.427902	0.150418	0.000029
422	13	13	0.000292	1.534992	0.151726	0.000029
423	20	20	0.000408	2.144673	0.150893	0.000029
424	3	3	0.000100	0.527726	0.150342	0.000029
425	2	2	0.000067	0.353872	0.150038	0.000029
426	7	7	0.000295	1.551562	0.155906	0.000030
427	31	31	0.000604	3.172559	0.154891	0.000029
428	2	2	0.000069	0.362620	0.150043	0.000029
429	1	1	0.000050	0.261339	0.150004	0.000029
430	8	8	0.000254	1.332456	0.151318	0.000029
431	1	1	0.000057	0.298229	0.150032	0.000029
432	14	14	0.000364	1.913499	0.154341	0.000029
433	19	19	0.000460	2.415134	0.154236	0.000029
434	2	2	0.000078	0.410257	0.150552	0.000029
435	2	2	0.000137	0.720545	0.153303	0.000029
436	8	8	0.000183	0.960221	0.152621	0.000029
437	2	2	0.000278	1.459459	0.151228	0.000029
438	19	19	0.000384	2.018891	0.151947	0.000029
439	3	3	0.000093	0.489716	0.150078	0.000029
440	1	1	0.000050	0.260676	0.150042	0.000029
441	23	23	0.000467	2.451711	0.153053	0.000029
442	2	2	0.000069	0.361709	0.150144	0.000029
443	4	4	0.000124	0.651285	0.151606	0.000029
444	4	4	0.000115	0.602496	0.150104	0.000029
445	1	1	0.000065	0.343686	0.150154	0.000029
446	14	14	0.000326	1.715157	0.153068	0.000029
447	7	7	0.000227	1.193587	0.152731	0.000029
448	1	1	0.000109	0.572632	0.150308	0.000029
449	1	1	0.000147	0.770270	0.150309	0.000029
450	4	4	0.000127	0.667713	0.150562	0.000029
451	1	1	0.000047	0.244718	0.150023	0.000029
452	4	4	0.000118	0.618618	0.150520	0.000029
453	11	11	0.000236	1.241553	0.150331	0.000029
454	3	3	0.000080	0.421431	0.150171	0.000029
455	1	1	0.000047	0.247071	0.150018	0.000029
456	2	2	0.000078	0.409297	0.150198	0.000029
457	2	2	0.000066	0.345391	0.150008	0.000029
458	130	130	0.002792	14.670640	0.167514	0.000032
459	1	1	0.000048	0.250571	0.150011	0.000029
460	5	5	0.000156	0.820252	0.150835	0.000029
461	1	1	0.000048	0.254287	0.150024	0.000029
